company_name,symbol,slope_diff,city,state,latitude,longitude,sector,sub_industry
Micron Technology,MU,0.0017,Boise,Idaho,43.7318,-116.2797,Information Technology,Semiconductors
Laboratory Corp. of America Holding,LH,0.0027,Burlington,North Carolina,36.1288,-79.4114,Health Care,Health Care Facilities
The Clorox Company,CLX,0.0007,Oakland,California,37.8471,-122.2223,Consumer Staples,Household Products
The Cooper Companies,COO,-0.019,Pleasanton,California,37.6873,-121.8957,Health Care,Health Care Supplies
Lam Research,LRCX,-0.0003,Fremont,California,37.6802,-121.9215,Information Technology,Semiconductor Equipment
Ross Stores,ROST,-0.0014,Pleasanton,California,37.6873,-121.8957,Consumer Discretionary,Apparel Retail
EQT Corporation,EQT,0.0049,Pittsburgh,Pennsylvania,40.5488,-80.0474,Energy,Oil & Gas Exploration & Production
Kraft Heinz Co,KHC,-0.0056,Pittsburgh,Pennsylvania,40.5488,-80.0474,Consumer Staples,Packaged Foods & Meats
PNC Financial Services,PNC,0.0065,Pittsburgh,Pennsylvania,40.5488,-80.0474,Financials,Banks
PPG Industries,PPG,-0.0043,Pittsburgh,Pennsylvania,40.5488,-80.0474,Materials,Diversified Chemicals
Western Union Co,WU,0.0022,Englewood,Colorado,39.6478,-104.9878,Information Technology,Internet Software & Services
AES Corp,AES,-0.0209,Arlington,Virginia,38.9033,-77.1263,Utilities,Independent Power Producers & Energy Traders
AvalonBay Communities Inc.,AVB,-0.0032,Arlington,Virginia,38.9033,-77.1263,Real Estate,Residential REITs
T. Rowe Price Group,TROW,0.0092,Baltimore,Maryland,39.3716,-76.6744,Financials,Diversified Financial Services
Under Armour,UA,-0.0035,Baltimore,Maryland,39.3716,-76.6744,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Under Armour,UA.C,-0.0094,Baltimore,Maryland,39.3716,-76.6744,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Cummins Inc.,CMI,-0.0125,Columbus,Indiana,39.2301,-85.8855,Industrials,Industrial Machinery
J. B. Hunt Transport Services,JBHT,0.004,Lowell,Arkansas,36.2554,-94.1308,Industrials,Trucking
Wal-Mart Stores,WMT,-0.0009,Bentonville,Arkansas,36.3729,-94.2088,Consumer Staples,Hypermarkets & Super Centers
Becton Dickinson,BDX,-0.0213,Franklin Lakes,New Jersey,41.0081,-74.2113,Health Care,Health Care Equipment
Cognizant Technology Solutions,CTSH,-0.0082,Teaneck,New Jersey,40.8915,-74.0119,Information Technology,IT Consulting & Other Services
Sealed Air,SEE,-0.0023,Elmwood Park,New Jersey,40.9069,-74.1209,Materials,Paper Packaging
Whirlpool Corp.,WHR,-0.0044,Benton Harbor,Michigan,42.1167,-86.4542,Consumer Discretionary,Household Appliances
Harris Corporation,HRS,-0.0018,Melbourne,Florida,28.2061,-80.685,Information Technology,Telecommunications Equipment
AutoNation Inc,AN,0.0173,Fort Lauderdale,Florida,26.212,-80.2696,Consumer Discretionary,Specialty Stores
Citrix Systems,CTXS,-0.0059,Fort Lauderdale,Florida,26.212,-80.2696,Information Technology,Internet Software & Services
Cincinnati Financial,CINF,0.0033,Fairfield,Ohio,39.441,-84.5757,Financials,Property & Casualty Insurance
Kellogg Co.,K,-0.0059,Battle Creek,Michigan,42.3453,-85.2178,Consumer Staples,Packaged Foods & Meats
American Water Works Company Inc,AWK,0.0,Voorhees,New Jersey,39.8504,-74.9646,Utilities,Water Utilities
Campbell Soup,CPB,-0.0054,Camden,New Jersey,39.9512,-75.1186,Consumer Staples,Packaged Foods & Meats
Dollar Tree,DLTR,0.0041,Chesapeake,Virginia,36.814,-76.2406,Consumer Discretionary,General Merchandise Stores
Ametek,AME,-0.0012,Berwyn,Pennsylvania,40.0412,-75.4475,Industrials,Electrical Components & Equipment
FLIR Systems,FLIR,0.0101,Wilsonville,Oregon,45.2986,-122.7699,Industrials,Aerospace & Defense
Wynn Resorts Ltd,WYNN,0.0106,Las Vegas,Nevada,36.4257,-115.4809,Consumer Discretionary,Casinos & Gaming
Alliance Data Systems,ADS,0.0003,Plano,Texas,33.0784,-96.7291,Information Technology,Data Processing & Outsourced Services
Dr Pepper Snapple Group,DPS,-0.0074,Plano,Texas,33.0784,-96.7291,Consumer Staples,Soft Drinks
Torchmark Corp.,TMK,0.0012,Mc Kinney,Texas,33.2141,-96.7533,Financials,Life & Health Insurance
Tesoro Petroleum Co.,TSO,0.0046,San Antonio,Texas,29.6643,-98.3118,Energy,Oil & Gas Refining & Marketing & Transportation
Valero Energy,VLO,0.0013,San Antonio,Texas,29.6643,-98.3118,Energy,Oil & Gas Refining & Marketing & Transportation
Chevron Corp.,CVX,-0.0023,San Ramon,California,37.7636,-121.9155,Energy,Integrated Oil & Gas
Boeing Company,BA,0.0014,Chicago,Illinois,42.0095,-87.6689,Industrials,Aerospace & Defense
CME Group Inc.,CME,-0.0023,Chicago,Illinois,42.0095,-87.6689,Financials,Financial Exchanges & Data
Equity Residential,EQR,-0.0062,Chicago,Illinois,42.0095,-87.6689,Real Estate,REITs
Exelon Corp.,EXC,-0.0043,Chicago,Illinois,42.0095,-87.6689,Utilities,MultiUtilities
General Growth Properties Inc.,GGP,0.0022,Chicago,Illinois,42.0095,-87.6689,Real Estate,REITs
Illinois Tool Works,ITW,-0.0019,Glenview,Illinois,42.0758,-87.8223,Industrials,Industrial Machinery
LKQ Corporation,LKQ,0.0025,Chicago,Illinois,42.0095,-87.6689,Consumer Discretionary,Distributors
Mead Johnson,MJN,-0.0032,Glenview,Illinois,42.0758,-87.8223,Consumer Staples,Packaged Foods & Meats
Motorola Solutions Inc.,MSI,-0.0106,Schaumburg,Illinois,42.0925,-88.1161,Information Technology,Telecommunications Equipment
Northern Trust Corp.,NTRS,0.0078,Chicago,Illinois,42.0095,-87.6689,Financials,Asset Management & Custody Banks
United Continental Holdings,UAL,0.0043,Chicago,Illinois,42.0095,-87.6689,Industrials,Airlines
Ventas Inc,VTR,0.0008,Chicago,Illinois,42.0095,-87.6689,Real Estate,REITs
KeyCorp,KEY,0.0115,Cleveland,Ohio,41.6857,-81.6728,Financials,Banks
Parker-Hannifin,PH,-0.0002,Cleveland,Ohio,41.6857,-81.6728,Industrials,Industrial Conglomerates
Sherwin-Williams,SHW,-0.0027,Cleveland,Ohio,41.6857,-81.6728,Materials,Specialty Chemicals
TransDigm Group,TDG,-0.0133,Cleveland,Ohio,41.6857,-81.6728,Industrials,Aerospace & Defense
Comerica Inc.,CMA,0.009,Dallas,Texas,33.0005,-96.8314,Financials,Regional Banks
Fluor Corp.,FLR,0.0335,Irving,Texas,32.9247,-96.9598,Industrials,Diversified Commercial Services
Flowserve Corporation,FLS,0.0024,Irving,Texas,32.9247,-96.9598,Industrials,Industrial Machinery
Kimberly-Clark,KMB,-0.0027,Irving,Texas,32.9247,-96.9598,Consumer Staples,Household Products
Southwest Airlines,LUV,0.0034,Dallas,Texas,33.0005,-96.8314,Industrials,Airlines
Pioneer Natural Resources,PXD,-0.0048,Irving,Texas,32.9247,-96.9598,Energy,Oil & Gas Exploration & Production
AT&T Inc,T,-0.0052,Dallas,Texas,33.0005,-96.8314,Telecommunications Services,Integrated Telecommunications Services
Texas Instruments,TXN,0.0006,Dallas,Texas,33.0005,-96.8314,Information Technology,Semiconductors
Exxon Mobil Corp.,XOM,-0.0046,Irving,Texas,32.9247,-96.9598,Energy,Integrated Oil & Gas
Alliant Energy Corp,LNT,-0.0087,Madison,Wisconsin,43.1596,-89.2852,Utilities,Electric Utilities
The Hershey Company,HSY,-0.0003,Hershey,Pennsylvania,40.2638,-76.6545,Consumer Staples,Packaged Foods & Meats
Dollar General,DG,0.0089,Goodlettsville,Tennessee,36.3417,-86.7212,Consumer Discretionary,General Merchandise Stores
Envision Healthcare Corp,EVHC,0.0057,Nashville,Tennessee,36.3403,-86.8273,Health Care,Health Care Services
HCA Holdings,HCA,-0.0128,Nashville,Tennessee,36.3403,-86.8273,Health Care,Health Care Facilities
Danaher Corp.,DHR,-0.0059,Washington,District of Columbia,38.9757,-77.0282,Industrials,Industrial Machinery
Arthur J. Gallagher & Co.,AJG,-0.0002,Itasca,Illinois,41.972,-88.0202,Financials,Insurance Brokers
Dover Corp.,DOV,0.0007,Downers Grove,Illinois,41.8034,-88.0138,Industrials,Industrial Machinery
McDonald's Corp.,MCD,0.0028,Oak Brook,Illinois,41.8371,-87.9638,Consumer Discretionary,Restaurants
Albemarle Corp,ALB,-0.0072,Baton Rouge,Louisiana,30.5902,-91.2054,Materials,Specialty Chemicals
M&T Bank Corp.,MTB,0.005,Buffalo,New York,43.0408,-78.7812,Financials,Banks
Affiliated Managers Group Inc,AMG,0.0005,Beverly,Massachusetts,42.5608,-70.8759,Financials,Asset Management & Custody Banks
Automatic Data Processing,ADP,-0.0001,Roseland,New Jersey,40.8203,-74.3047,Information Technology,Internet Software & Services
Dun & Bradstreet,DNB,0.0,Short Hills,New Jersey,40.7368,-74.3271,Industrials,Data Processing Services
Public Serv. Enterprise Inc.,PEG,-0.0035,Newark,New Jersey,40.7918,-74.2452,Utilities,Electric Utilities
Prudential Financial,PRU,0.0,Newark,New Jersey,40.7918,-74.2452,Financials,Diversified Financial Services
Tegna Inc.,TGNA,0.0238,Mc Lean,Virginia,38.953,-77.2295,Consumer Discretionary,Publishing
Charter Communications,CHTR,-0.0119,Stamford,Connecticut,41.1352,-73.5684,Consumer Discretionary,Cable & Satellite
Frontier Communications,FTR,0.0088,Stamford,Connecticut,41.1352,-73.5684,Telecommunications Services,Integrated Telecommunications Services
General Electric,GE,-0.0008,Fairfield,Connecticut,41.1928,-73.2402,Industrials,Industrial Conglomerates
Harman Int'l Industries,HAR,0.027,Stamford,Connecticut,41.1352,-73.5684,Consumer Discretionary,Consumer Electronics
People's United Financial,PBCT,0.0045,Bridgeport,Connecticut,41.2091,-73.2086,Financials,Thrifts & Mortgage Finance
Pitney-Bowes,PBI,0.001,Stamford,Connecticut,41.1352,-73.5684,Industrials,Technology / Hardware / Software and Supplies
Priceline.com Inc,PCLN,-0.0192,Norwalk,Connecticut,41.3089,-73.3637,Consumer Discretionary,Internet & Direct Marketing Retail
Praxair Inc.,PX,-0.0078,Danbury,Connecticut,41.424,-73.4716,Materials,Industrial Gases
Synchrony Financial,SYF,0.0126,Stamford,Connecticut,41.1352,-73.5684,Financials,Consumer Finance
United Rentals Inc.,URI,0.0018,Stamford,Connecticut,41.1352,-73.5684,Industrials,Trading Companies & Distributors
Xerox Corp.,XRX,0.0039,Norwalk,Connecticut,41.3089,-73.3637,Information Technology,IT Consulting & Other Services
CSRA Inc.,CSRA,0.0152,Falls Church,Virginia,38.8856,-77.1802,Information Technology,IT Consulting & Other Services
General Dynamics,GD,0.0024,Falls Church,Virginia,38.8856,-77.1802,Industrials,Aerospace & Defense
BB&T Corporation,BBT,0.0069,Winston Salem,North Carolina,36.144,-80.2376,Financials,Banks
Hanesbrands Inc,HBI,0.0061,Winston Salem,North Carolina,36.144,-80.2376,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Reynolds American Inc.,RAI,-0.0033,Winston Salem,North Carolina,36.144,-80.2376,Consumer Staples,Tobacco
American Electric Power,AEP,-0.0058,Columbus,Ohio,40.1454,-82.9817,Utilities,Electric Utilities
Cardinal Health Inc.,CAH,0.0091,Dublin,Ohio,40.1093,-83.1146,Health Care,Health Care Distributors
Huntington Bancshares,HBAN,0.0122,Columbus,Ohio,40.1454,-82.9817,Financials,Banks
L Brands Inc.,LB,0.0066,Columbus,Ohio,40.1454,-82.9817,Consumer Discretionary,Apparel Retail
Mettler Toledo,MTD,-0.0145,Columbus,Ohio,40.1454,-82.9817,Health Care,Life Sciences Tools & Services
Acuity Brands Inc,AYI,-0.0006,Atlanta,Georgia,33.9669,-84.3249,Industrials,Electrical Components & Equipment
Delta Air Lines,DAL,-0.0016,Atlanta,Georgia,33.9669,-84.3249,Industrials,Airlines
Equifax Inc.,EFX,-0.012,Atlanta,Georgia,33.9669,-84.3249,Financials,Diversified Financial Services
Genuine Parts,GPC,0.0085,Atlanta,Georgia,33.9669,-84.3249,Consumer Discretionary,Specialty Stores
Global Payments Inc,GPN,-0.0172,Atlanta,Georgia,33.9669,-84.3249,Information Technology,Data Processing & Outsourced Services
Home Depot,HD,-0.007,Atlanta,Georgia,33.9669,-84.3249,Consumer Discretionary,Home Improvement Retail
Intercontinental Exchange,ICE,0.7657,Atlanta,Georgia,33.9669,-84.3249,Financials,Diversified Financial Services
Invesco Ltd.,IVZ,0.006,Atlanta,Georgia,33.9669,-84.3249,Financials,Asset Management & Custody Banks
Coca Cola Company,KO,-0.0047,Atlanta,Georgia,33.9669,-84.3249,Consumer Staples,Soft Drinks
Pulte Homes Inc.,PHM,0.001,Atlanta,Georgia,33.9669,-84.3249,Consumer Discretionary,Homebuilding
Southern Co.,SO,-0.0042,Atlanta,Georgia,33.9669,-84.3249,Utilities,Electric Utilities
SunTrust Banks,STI,0.009,Atlanta,Georgia,33.9669,-84.3249,Financials,Banks
United Parcel Service,UPS,-0.0055,Atlanta,Georgia,33.9669,-84.3249,Industrials,Air Freight & Logistics
O'Reilly Automotive,ORLY,0.0033,Springfield,Missouri,37.2593,-93.2912,Consumer Discretionary,Specialty Stores
Qorvo,QRVO,0.0278,Greensboro,North Carolina,36.1824,-79.806,Information Technology,Semiconductors
V.F. Corp.,VFC,0.0018,Greensboro,North Carolina,36.1824,-79.806,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Fifth Third Bancorp,FITB,0.0154,Cincinnati,Ohio,39.2851,-84.5288,Financials,Banks
Kroger Co.,KR,0.016,Cincinnati,Ohio,39.2851,-84.5288,Consumer Staples,Food Retail
Macy's Inc.,M,0.0068,Cincinnati,Ohio,39.2851,-84.5288,Consumer Discretionary,Department Stores
Procter & Gamble,PG,-0.0035,Cincinnati,Ohio,39.2851,-84.5288,Consumer Staples,Personal Products
Scripps Networks Interactive Inc.,SNI,0.0115,Cincinnati,Ohio,39.2851,-84.5288,Consumer Discretionary,Broadcasting & Cable TV
Unum Group,UNM,0.0076,Chattanooga,Tennessee,35.1273,-85.2802,Financials,Diversified Financial Services
Eversource Energy,ES,-0.0071,Springfield,Massachusetts,42.1707,-72.6048,Utilities,MultiUtilities
Marathon Petroleum,MPC,-0.0038,Findlay,Ohio,41.0449,-83.6457,Energy,Oil & Gas Refining & Marketing & Transportation
Apache Corporation,APA,0.012,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
Baker Hughes Inc,BHI,-0.0102,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Equipment & Services
Crown Castle International Corp.,CCI,-0.0087,Houston,Texas,30.0198,-95.4087,Real Estate,REITs
CenterPoint Energy,CNP,-0.0115,Houston,Texas,30.0198,-95.4087,Utilities,MultiUtilities
Cabot Oil & Gas,COG,0.0003,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
ConocoPhillips,COP,-0.0055,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
EOG Resources,EOG,-0.0029,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
FMC Technologies Inc.,FTI,0.0021,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Equipment & Services
Halliburton Co.,HAL,-0.0007,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Equipment & Services
Kinder Morgan,KMI,-0.0045,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Refining & Marketing & Transportation
Marathon Oil Corp.,MRO,-0.0059,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
Noble Energy Inc,NBL,-0.0054,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
Newfield Exploration Co,NFX,0.0093,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
National Oilwell Varco Inc.,NOV,0.0103,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Equipment & Services
Phillips 66,PSX,-0.001,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Refining & Marketing & Transportation
Quanta Services Inc.,PWR,0.0067,Houston,Texas,30.0198,-95.4087,Industrials,Industrial Conglomerates
Spectra Energy Corp.,SE,-0.0129,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Refining & Marketing & Transportation
Southwestern Energy,SWN,0.0142,Houston,Texas,30.0198,-95.4087,Energy,Oil & Gas Exploration & Production
Sysco Corp.,SYY,-0.0201,Houston,Texas,30.0198,-95.4087,Consumer Staples,Food Distributors
Waste Management Inc.,WM,0.0021,Houston,Texas,30.0198,-95.4087,Industrials,Environmental Services
Aetna Inc,AET,-0.0016,Hartford,Connecticut,41.9274,-72.6804,Health Care,Managed Health Care
Hartford Financial Svc.Gp.,HIG,0.0056,Hartford,Connecticut,41.9274,-72.6804,Financials,Property & Casualty Insurance
Stanley Black & Decker,SWK,-0.0043,New Britain,Connecticut,41.6867,-72.7908,Consumer Discretionary,Household Appliances
United Technologies,UTX,0.0,Hartford,Connecticut,41.9274,-72.6804,Industrials,Industrial Conglomerates
Ameriprise Financial,AMP,0.0091,Minneapolis,Minnesota,45.1232,-93.3797,Financials,Asset Management & Custody Banks
C. H. Robinson Worldwide,CHRW,0.0007,Eden Prairie,Minnesota,44.8771,-93.483,Industrials,Air Freight & Logistics
Target Corp.,TGT,0.0074,Minneapolis,Minnesota,45.1232,-93.3797,Consumer Discretionary,General Merchandise Stores
United Health Group Inc.,UNH,0.0059,Minnetonka,Minnesota,44.9138,-93.485,Health Care,Managed Health Care
U.S. Bancorp,USB,0.0031,Minneapolis,Minnesota,45.1232,-93.3797,Financials,Banks
Xcel Energy Inc,XEL,-0.005,Minneapolis,Minnesota,45.1232,-93.3797,Utilities,MultiUtilities
Dominion Resources,D,-0.0068,Richmond,Virginia,37.6455,-77.6266,Utilities,Electric Utilities
Carmax Inc,KMX,0.0142,Richmond,Virginia,37.6455,-77.6266,Consumer Discretionary,Specialty Stores
Altria Group Inc,MO,-0.006,Richmond,Virginia,37.6455,-77.6266,Consumer Staples,Tobacco
Westrock Co,WRK,0.0059,Richmond,Virginia,37.6455,-77.6266,Materials,Paper Packaging
Verisk Analytics,VRSK,-0.0023,Jersey City,New Jersey,40.7482,-74.0498,Industrials,Research & Consulting Services
Merck & Co.,MRK,-0.0072,Whitehouse Station,New Jersey,40.6156,-74.7724,Health Care,Pharmaceuticals
Lowe's Cos.,LOW,0.002,Mooresville,North Carolina,35.584,-80.8685,Consumer Discretionary,Home Improvement Retail
CMS Energy,CMS,-0.0047,Jackson,Michigan,42.2634,-84.4083,Utilities,MultiUtilities
Leggett & Platt,LEG,0.0033,Carthage,Missouri,37.1597,-94.3112,Industrials,Industrial Conglomerates
Apartment Investment & Mgmt,AIV,-0.0097,Denver,Colorado,39.7436,-105.0643,Real Estate,REITs
Ball Corp,BLL,-0.0068,Broomfield,Colorado,39.8854,-105.1139,Materials,Metal & Glass Containers
Chipotle Mexican Grill,CMG,0.0094,Denver,Colorado,39.7436,-105.0643,Consumer Discretionary,Restaurants
DaVita Inc.,DVA,0.0027,Denver,Colorado,39.7436,-105.0643,Health Care,Health Care Facilities
Level 3 Communications,LVLT,-0.0009,Broomfield,Colorado,39.8854,-105.1139,Telecommunications Services,Alternative Carriers
Newmont Mining Corp. (Hldg. Co.),NEM,-0.0119,Denver,Colorado,39.7436,-105.0643,Materials,Gold
Molson Coors Brewing Company,TAP,-0.012,Denver,Colorado,39.7436,-105.0643,Consumer Staples,Brewers
Cimarex Energy,XEC,0.009,Denver,Colorado,39.7436,-105.0643,Energy,Oil & Gas Exploration & Production
Brown-Forman Corporation,BF-B,-0.0039,Louisville,Kentucky,38.3045,-85.5815,Consumer Staples,Distillers & Vintners
Humana Inc.,HUM,0.0003,Louisville,Kentucky,38.3045,-85.5815,Health Care,Managed Health Care
Yum! Brands Inc,YUM,-0.0091,Louisville,Kentucky,38.3045,-85.5815,Consumer Discretionary,Restaurants
Stryker Corp.,SYK,-0.02,Kalamazoo,Michigan,42.3518,-85.5621,Health Care,Health Care Equipment
Snap-On Inc.,SNA,0.0001,Kenosha,Wisconsin,42.6058,-87.8762,Consumer Discretionary,Household Appliances
Alaska Air Group Inc,ALK,0.0048,Seattle,Washington,47.7559,-122.3003,Industrials,Airlines
Amazon.com Inc,AMZN,-0.0111,Seattle,Washington,47.7559,-122.3003,Consumer Discretionary,Internet & Direct Marketing Retail
Costco Co.,COST,0.007,Issaquah,Washington,47.5585,-122.0055,Consumer Staples,Hypermarkets & Super Centers
Expeditors Int'l,EXPD,0.0063,Seattle,Washington,47.7559,-122.3003,Industrials,Air Freight & Logistics
Expedia Inc.,EXPE,-0.0085,Bellevue,Washington,47.6174,-122.1426,Consumer Discretionary,Internet & Direct Marketing Retail
F5 Networks,FFIV,0.0026,Seattle,Washington,47.7559,-122.3003,Information Technology,Networking Equipment
Nordstrom,JWN,0.0134,Seattle,Washington,47.7559,-122.3003,Consumer Discretionary,Department Stores
Microsoft Corp.,MSFT,-0.0061,Redmond,Washington,47.674,-122.1215,Information Technology,Systems Software
PACCAR Inc.,PCAR,0.0001,Bellevue,Washington,47.6174,-122.1426,Industrials,Construction & Farm Machinery & Heavy Trucks
Starbucks Corp.,SBUX,-0.006,Seattle,Washington,47.7559,-122.3003,Consumer Discretionary,Restaurants
Weyerhaeuser Corp.,WY,-0.0008,Federal Way,Washington,47.3223,-122.3126,Real Estate,REITs
Zimmer Biomet Holdings,ZBH,-0.0042,Warsaw,Indiana,41.2842,-85.8547,Health Care,Health Care Equipment
AbbVie,ABBV,-0.0073,North Chicago,Illinois,42.4333,-87.7766,Health Care,Pharmaceuticals
Abbott Laboratories,ABT,-0.0091,North Chicago,Illinois,42.4333,-87.7766,Health Care,Health Care Equipment
Baxter International Inc.,BAX,-0.0098,Deerfield,Illinois,42.1705,-87.859,Health Care,Health Care Equipment
CF Industries Holdings Inc,CF,0.0089,Deerfield,Illinois,42.1705,-87.859,Materials,Fertilizers & Agricultural Chemicals
Fortune Brands Home & Security,FBHS,0.0006,Deerfield,Illinois,42.1705,-87.859,Industrials,Building Products
Grainger (W.W.) Inc.,GWW,-0.0048,Lake Forest,Illinois,42.2374,-87.8482,Industrials,Industrial Materials
Stericycle Inc,SRCL,0.0044,Lake Forest,Illinois,42.2374,-87.8482,Industrials,Industrial Conglomerates
Walgreens Boots Alliance,WBA,0.005,Deerfield,Illinois,42.1705,-87.859,Consumer Staples,Drug Retail
NiSource Inc.,NI,-0.0048,Merrillville,Indiana,41.4957,-87.3509,Utilities,MultiUtilities
Air Products & Chemicals Inc,APD,-0.0048,Allentown,Pennsylvania,40.6934,-75.4712,Materials,Industrial Gases
PPL Corp.,PPL,-0.0053,Allentown,Pennsylvania,40.6934,-75.4712,Utilities,Electric Utilities
SCANA Corp,SCG,-0.0031,Cayce,South Carolina,33.9626,-81.0671,Utilities,MultiUtilities
Rockwell Collins,COL,0.0061,Cedar Rapids,Iowa,42.0794,-91.5992,Industrials,Industrial Conglomerates
Activision Blizzard,ATVI,0.0033,Santa Monica,California,34.0349,-118.503,Information Technology,Home Entertainment Software
Avery Dennison Corp,AVY,-0.0047,Glendale,California,34.1921,-118.235,Materials,Paper Packaging
CBRE Group,CBG,-0.001,Los Angeles,California,34.1339,-118.2082,Real Estate,Real Estate Services
The Walt Disney Company,DIS,0.0029,Burbank,California,34.2001,-118.3264,Consumer Discretionary,Broadcasting & Cable TV
Edison Int'l,EIX,-0.0044,Rosemead,California,34.0806,-118.0728,Utilities,Electric Utilities
HCP Inc.,HCP,-0.0008,Long Beach,California,33.8635,-118.1801,Real Estate,REITs
Jacobs Engineering Group,JEC,0.0144,Pasadena,California,34.1678,-118.1261,Industrials,Industrial Conglomerates
Macerich,MAC,0.003,Santa Monica,California,34.0349,-118.503,Real Estate,Retail REITs
Mattel Inc.,MAT,0.0036,El Segundo,California,33.9243,-118.4119,Consumer Discretionary,Leisure Products
Occidental Petroleum,OXY,0.0039,Los Angeles,California,34.1339,-118.2082,Energy,Oil & Gas Exploration & Production
Public Storage,PSA,-0.0105,Glendale,California,34.1921,-118.235,Real Estate,REITs
Verisign Inc.,VRSN,-0.0082,Dulles,Virginia,39.0853,-77.6452,Information Technology,Internet Software & Services
Welltower Inc.,HCN,0.0069,Toledo,Ohio,41.7207,-83.5694,Real Estate,REITs
Archer-Daniels-Midland Co,ADM,-0.0132,Decatur,Illinois,39.8583,-88.9382,Consumer Staples,Agricultural Products
Freeport-McMoran Cp & Gld,FCX,-0.0059,Phoenix,Arizona,33.8155,-112.1202,Materials,Copper
First Solar Inc,FSLR,0.0341,Tempe,Arizona,33.4285,-111.9349,Information Technology,Semiconductors
Microchip Technology,MCHP,-0.007,Chandler,Arizona,33.3301,-111.8632,Information Technology,Semiconductors
Pinnacle West Capital,PNW,-0.002,Phoenix,Arizona,33.8155,-112.1202,Utilities,MultiUtilities
Republic Services Inc,RSG,0.0027,Phoenix,Arizona,33.8155,-112.1202,Industrials,Industrial Conglomerates
Autodesk Inc,ADSK,-0.0062,San Rafael,California,38.0739,-122.5594,Information Technology,Application Software
Anthem Inc.,ANTM,0.006,Indianapolis,Indiana,39.9069,-86.1238,Health Care,Managed Health Care
Lilly (Eli) & Co.,LLY,-0.0063,Indianapolis,Indiana,39.9069,-86.1238,Health Care,Pharmaceuticals
Simon Property Group Inc,SPG,0.0002,Indianapolis,Indiana,39.9069,-86.1238,Real Estate,REITs
NRG Energy,NRG,-0.027,Princeton,New Jersey,40.3666,-74.6408,Utilities,Independent Power Producers & Energy Traders
