symbol,company_name,slope_diff,sector,sub_industry,city,state,latitude,longitude
A,Agilent Technologies Inc,-0.0128624394360027,Health Care,Health Care Equipment,Santa Clara,California,37.3997,-121.9608
AAL,American Airlines Group,-0.00042182587615694,Industrials,Airlines,Fort Worth,Texas,32.9448,-97.3124
AAP,Advance Auto Parts,0.0156715059976711,Consumer Discretionary,Automotive Retail,Roanoke,Virginia,37.5551,-79.7862
AAPL,Apple Inc.,-0.00455940756880146,Information Technology,Computer Hardware,Cupertino,California,37.323,-122.0527
ABBV,AbbVie,-0.00726327140026902,Health Care,Pharmaceuticals,North Chicago,Illinois,42.4333,-87.7766
ABT,Abbott Laboratories,-0.00908606942350543,Health Care,Health Care Equipment,North Chicago,Illinois,42.4333,-87.7766
ADBE,Adobe Systems Inc,-0.00935823796683072,Information Technology,Application Software,San Jose,California,37.4087,-121.9406
ADI,Analog Devices Inc.,0.00526687323233134,Information Technology,Semiconductors,Norwood,Massachusetts,42.1868,-71.2033
ADM,Archer-Daniels-Midland Co,-0.0132265733511012,Consumer Staples,Agricultural Products,Decatur,Illinois,39.8583,-88.9382
ADP,Automatic Data Processing,-8.9709513517893e-05,Information Technology,Internet Software & Services,Roseland,New Jersey,40.8203,-74.3047
ADS,Alliance Data Systems,0.000257469009093457,Information Technology,Data Processing & Outsourced Services,Plano,Texas,33.0784,-96.7291
ADSK,Autodesk Inc,-0.00615782428672041,Information Technology,Application Software,San Rafael,California,38.0739,-122.5594
AEE,Ameren Corp,-0.0069158897515669,Utilities,MultiUtilities,Saint Louis,Missouri,38.8033,-90.2065
AEP,American Electric Power,-0.00581854247677914,Utilities,Electric Utilities,Columbus,Ohio,40.1454,-82.9817
AES,AES Corp,-0.0208812954292661,Utilities,Independent Power Producers & Energy Traders,Arlington,Virginia,38.9033,-77.1263
AET,Aetna Inc,-0.00159772507655795,Health Care,Managed Health Care,Hartford,Connecticut,41.9274,-72.6804
AFL,AFLAC Inc,-0.00264744549665465,Financials,Life & Health Insurance,Columbus,Georgia,32.5369,-84.9274
AIG,American International Group Inc.,0.00923593751157886,Financials,Property & Casualty Insurance,New York,New York,41.1472,-73.9962
AIV,Apartment Investment & Mgmt,-0.00965620792465866,Real Estate,REITs,Denver,Colorado,39.9274,-104.9548
AIZ,Assurant Inc,0.00547032974661576,Financials,Multi-line Insurance,New York,New York,41.1472,-73.9962
AJG,Arthur J. Gallagher & Co.,-0.000216282304942883,Financials,Insurance Brokers,Itasca,Illinois,41.972,-88.0202
AKAM,Akamai Technologies Inc,-0.000909616444823931,Information Technology,Internet Software & Services,Cambridge,Massachusetts,42.3932,-71.1338
ALB,Albemarle Corp,-0.00721490917537935,Materials,Specialty Chemicals,Baton Rouge,Louisiana,30.5902,-91.2054
ALK,Alaska Air Group Inc,0.00483682300692364,Industrials,Airlines,Seattle,Washington,47.7559,-122.3003
ALXN,Alexion Pharmaceuticals,-0.00257313120682731,Health Care,Biotechnology,Cheshire,Connecticut,41.5055,-72.9081
AMAT,Applied Materials Inc,-0.00174153693705588,Information Technology,Semiconductor Equipment,Santa Clara,California,37.3997,-121.9608
AME,Ametek,-0.00121713437182714,Industrials,Electrical Components & Equipment,Berwyn,Pennsylvania,40.0412,-75.4475
AMG,Affiliated Managers Group Inc,0.000454728601403981,Financials,Asset Management & Custody Banks,Beverly,Massachusetts,42.5608,-70.8759
AMGN,Amgen Inc,-0.00321628058513851,Health Care,Biotechnology,Thousand Oaks,California,34.2092,-118.8739
AMP,Ameriprise Financial,0.00909086783177161,Financials,Asset Management & Custody Banks,Minneapolis,Minnesota,45.1907,-93.3021
AMT,American Tower Corp A,-0.0125918892859088,Real Estate,Specialized REITs,Boston,Massachusetts,42.3823,-71.0323
AMZN,Amazon.com Inc,-0.0111453300970131,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,47.7559,-122.3003
AN,AutoNation Inc,0.01726613094821,Consumer Discretionary,Specialty Stores,Fort Lauderdale,Florida,26.212,-80.2696
ANTM,Anthem Inc.,0.00600487029575277,Health Care,Managed Health Care,Indianapolis,Indiana,39.9416,-86.1157
APA,Apache Corporation,0.0120457780447189,Energy,Oil & Gas Exploration & Production,Houston,Texas,30.0198,-95.4087
APD,Air Products & Chemicals Inc,-0.00479666673020196,Materials,Industrial Gases,Allentown,Pennsylvania,40.6934,-75.4712
APH,Amphenol Corp A,-0.00456343937631622,Industrials,Electrical Components & Equipment,Wallingford,Connecticut,41.46,-72.8222
ARNC,Arconic Inc,0.0192920354280831,Industrials,Aerospace & Defense,New York,New York,41.1472,-73.9962
ATVI,Activision Blizzard,0.00325583174891465,Information Technology,Home Entertainment Software,Santa Monica,California,34.0349,-118.503
AVB,AvalonBay Communities Inc.,-0.00322404680888637,Real Estate,Residential REITs,Arlington,Virginia,38.9033,-77.1263
AVGO,Broadcom,-0.0108970066480722,Information Technology,Semiconductors,San Jose,California,37.4087,-121.9406
AVY,Avery Dennison Corp,-0.00466091534554906,Materials,Paper Packaging,Glendale,California,34.1921,-118.235
AWK,American Water Works Company Inc,4.16839271156302e-05,Utilities,Water Utilities,Voorhees,New Jersey,39.8504,-74.9646
AXP,American Express Co,0.00402842786826774,Financials,Consumer Finance,New York,New York,41.1472,-73.9962
AYI,Acuity Brands Inc,-0.000605907062997864,Industrials,Electrical Components & Equipment,Atlanta,Georgia,33.9795,-84.3411
AZO,AutoZone Inc,0.000976521349718719,Consumer Discretionary,Specialty Stores,Memphis,Tennessee,35.251,-90.0296
BA,Boeing Company,0.00138512621288902,Industrials,Aerospace & Defense,Chicago,Illinois,42.0095,-87.6689
BAC,Bank of America Corp,0.0121527851812366,Financials,Banks,Charlotte,North Carolina,35.3183,-80.7476
BAX,Baxter International Inc.,-0.00980661355691696,Health Care,Health Care Equipment,Deerfield,Illinois,42.1705,-87.859
BBBY,Bed Bath & Beyond,0.0122803690815691,Consumer Discretionary,Specialty Stores,Union,New Jersey,40.6952,-74.2677
BBT,BB&T Corporation,0.00686538132974032,Financials,Banks,Winston Salem,North Carolina,36.144,-80.2376
BDX,Becton Dickinson,-0.0212595836703631,Health Care,Health Care Equipment,Franklin Lakes,New Jersey,41.0081,-74.2113
BEN,Franklin Resources,-0.00303608825571448,Financials,Asset Management & Custody Banks,San Mateo,California,37.5735,-122.3225
BF-B,Brown-Forman Corporation,-0.00387548721723111,Consumer Staples,Distillers & Vintners,Louisville,Kentucky,38.3045,-85.5815
BHI,Baker Hughes Inc,-0.010214415997691,Energy,Oil & Gas Equipment & Services,Houston,Texas,30.0198,-95.4087
BIIB,BIOGEN IDEC Inc.,-0.010695946802791,Health Care,Biotechnology,Weston,Massachusetts,42.3589,-71.3001
BK,The Bank of New York Mellon Corp.,0.00398123631788896,Financials,Banks,New York,New York,41.1472,-73.9962
BLK,BlackRock,-0.00555867254756392,Financials,Asset Management & Custody Banks,New York,New York,41.1472,-73.9962
BLL,Ball Corp,-0.00682866778638304,Materials,Metal & Glass Containers,Broomfield,Colorado,39.9619,-105.0148
BMY,Bristol-Myers Squibb,-0.00741266168627183,Health Care,Health Care Distributors,New York,New York,41.1472,-73.9962
BRK-B,Berkshire Hathaway,0.00115547748284622,Financials,Multi-Sector Holdings,Omaha,Nebraska,41.3359,-96.0901
BSX,Boston Scientific,-0.0122177627604104,Health Care,Health Care Equipment,Marlborough,Massachusetts,42.3509,-71.5434
BWA,BorgWarner,-0.00423810075447748,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills,Michigan,42.6601,-83.3863
BXP,Boston Properties,0.00253030808556701,Real Estate,REITs,Boston,Massachusetts,42.3823,-71.0323
C,Citigroup Inc.,0.00424209297492154,Financials,Banks,New York,New York,41.1472,-73.9962
CA,CA Inc.,-0.00584829126287242,Information Technology,Systems Software,Islandia,New York,40.8067,-73.1709
CAG,ConAgra Foods Inc.,-0.0421823068493379,Consumer Staples,Packaged Foods & Meats,Omaha,Nebraska,41.3359,-96.0901
CAH,Cardinal Health Inc.,0.00912896337997098,Health Care,Health Care Distributors,Dublin,Ohio,40.1093,-83.1146
CAT,Caterpillar Inc.,-0.00175424572893648,Industrials,Construction & Farm Machinery & Heavy Trucks,Peoria,Illinois,40.8767,-89.5091
CBG,CBRE Group,-0.001027010894954,Real Estate,Real Estate Services,Los Angeles,California,34.1339,-118.2082
CBS,CBS Corp.,-0.00247915190962175,Consumer Discretionary,Broadcasting & Cable TV,New York,New York,41.1472,-73.9962
CCI,Crown Castle International Corp.,-0.00871113443226324,Real Estate,REITs,Houston,Texas,30.0198,-95.4087
CCL,Carnival Corp.,0.000628111490199564,Consumer Discretionary,Hotels / Resorts & Cruise Lines,Miami,Florida,25.9597,-80.1403
CELG,Celgene Corp.,-0.00766204120575349,Health Care,Biotechnology,Summit,New Jersey,40.7156,-74.3647
CF,CF Industries Holdings Inc,0.00885858858237165,Materials,Fertilizers & Agricultural Chemicals,Deerfield,Illinois,42.1705,-87.859
CFG,Citizens Financial Group,0.00751574399967445,Financials,Banks,Providence,Rhode Island,41.8541,-71.4378
CHK,Chesapeake Energy,0.000542740841248305,Energy,Integrated Oil & Gas,Oklahoma City,Oklahoma,35.6174,-97.5583
CHRW,C. H. Robinson Worldwide,0.000702155778728742,Industrials,Air Freight & Logistics,Eden Prairie,Minnesota,44.8771,-93.483
CHTR,Charter Communications,-0.0118981244297675,Consumer Discretionary,Cable & Satellite,Stamford,Connecticut,41.1352,-73.5684
CI,CIGNA Corp.,-0.0116939007592147,Health Care,Managed Health Care,Philadelphia,Pennsylvania,40.1166,-75.0198
CINF,Cincinnati Financial,0.00328829929703387,Financials,Property & Casualty Insurance,Fairfield,Ohio,39.441,-84.5757
CL,Colgate-Palmolive,-0.00719596392459947,Consumer Staples,Household Products,New York,New York,41.1472,-73.9962
CLX,The Clorox Company,0.000653586834613076,Consumer Staples,Household Products,Oakland,California,37.8471,-122.2223
CMA,Comerica Inc.,0.00897680937287637,Financials,Regional Banks,Dallas,Texas,33.0005,-96.8314
CMCSA,Comcast A Corp,0.00669169503816449,Consumer Discretionary,Cable & Satellite,Philadelphia,Pennsylvania,40.1166,-75.0198
CME,CME Group Inc.,-0.0023107496891351,Financials,Financial Exchanges & Data,Chicago,Illinois,42.0095,-87.6689
CMG,Chipotle Mexican Grill,0.00943451822761194,Consumer Discretionary,Restaurants,Denver,Colorado,39.9274,-104.9548
CMI,Cummins Inc.,-0.0125410820776636,Industrials,Industrial Machinery,Columbus,Indiana,39.2301,-85.8855
CMS,CMS Energy,-0.00468586880753533,Utilities,MultiUtilities,Jackson,Michigan,42.2634,-84.4083
CNC,Centene Corporation,-0.0229182862400327,Health Care,Managed Health Care,Saint Louis,Missouri,38.8033,-90.2065
CNP,CenterPoint Energy,-0.011538782238357,Utilities,MultiUtilities,Houston,Texas,30.0198,-95.4087
COG,Cabot Oil & Gas,0.000341653699931132,Energy,Oil & Gas Exploration & Production,Houston,Texas,30.0198,-95.4087
COH,Coach Inc.,0.00233806095988411,Consumer Discretionary,Apparel / Accessories & Luxury Goods,New York,New York,41.1472,-73.9962
COL,Rockwell Collins,0.00608893323782133,Industrials,Industrial Conglomerates,Cedar Rapids,Iowa,42.0794,-91.5992
COO,The Cooper Companies,-0.0190076072374848,Health Care,Health Care Supplies,Pleasanton,California,37.6873,-121.8957
COP,ConocoPhillips,-0.00545033600718993,Energy,Oil & Gas Exploration & Production,Houston,Texas,30.0198,-95.4087
COST,Costco Co.,0.00703019145023839,Consumer Staples,Hypermarkets & Super Centers,Issaquah,Washington,47.5585,-122.0055
COTY,Coty Inc,-0.00656763907734054,Consumer Staples,Personal Products,New York,New York,41.1472,-73.9962
CPB,Campbell Soup,-0.00536405763122643,Consumer Staples,Packaged Foods & Meats,Camden,New Jersey,39.9512,-75.1186
CRM,Salesforce.com,-0.00758065932638467,Information Technology,Internet Software & Services,San Francisco,California,37.8231,-122.3693
CSCO,Cisco Systems,-0.00109468851012565,Information Technology,Networking Equipment,San Jose,California,37.4087,-121.9406
CSRA,CSRA Inc.,0.0151652557549617,Information Technology,IT Consulting & Other Services,Falls Church,Virginia,38.8994,-77.1895
CSX,CSX Corp.,-0.00302354915370058,Industrials,Railroads,Jacksonville,Florida,30.4735,-81.5448
CTAS,Cintas Corporation,-0.00162463905169737,Industrials,Diversified Support Services,Mason,Ohio,39.3357,-84.3149
CTL,CenturyLink Inc,0.00274114028380935,Telecommunications Services,Integrated Telecommunications Services,Monroe,Louisiana,32.553,-92.0422
CTSH,Cognizant Technology Solutions,-0.00815012552856455,Information Technology,IT Consulting & Other Services,Teaneck,New Jersey,40.8915,-74.0119
CTXS,Citrix Systems,-0.0058669315515531,Information Technology,Internet Software & Services,Fort Lauderdale,Florida,26.212,-80.2696
CVS,CVS Health,0.00906780292151791,Consumer Staples,Drug Retail,Woonsocket,Rhode Island,41.9846,-71.5194
CVX,Chevron Corp.,-0.00232319051160139,Energy,Integrated Oil & Gas,San Ramon,California,37.7636,-121.9155
CXO,Concho Resources,-0.00686551716378345,Energy,Oil & Gas Exploration & Production,Midland,Texas,32.0295,-102.0915
D,Dominion Resources,-0.00679122179180397,Utilities,Electric Utilities,Richmond,Virginia,37.6455,-77.6266
DAL,Delta Air Lines,-0.00163348617284391,Industrials,Airlines,Atlanta,Georgia,33.9795,-84.3411
DD,Du Pont (E.I.),-0.00738331985063373,Materials,Diversified Chemicals,Wilmington,Delaware,39.8188,-75.5064
DE,Deere & Co.,0.00079985025557147,Industrials,Construction & Farm Machinery & Heavy Trucks,Moline,Illinois,41.5067,-90.5151
DG,Dollar General,0.0089105551023052,Consumer Discretionary,General Merchandise Stores,Goodlettsville,Tennessee,36.3417,-86.7212
DGX,Quest Diagnostics,0.004799949016325,Health Care,Health Care Facilities,Madison,New Jersey,40.7599,-74.4179
DHI,D. R. Horton,0.00391981619417626,Consumer Discretionary,Homebuilding,Fort Worth,Texas,32.9448,-97.3124
DHR,Danaher Corp.,-0.00587044205944261,Industrials,Industrial Machinery,Washington,District of Columbia,38.9757,-77.0282
DIS,The Walt Disney Company,0.00287509121402608,Consumer Discretionary,Broadcasting & Cable TV,Burbank,California,34.2001,-118.3264
DISCA,Discovery Communications-A,0.0112074574524319,Consumer Discretionary,Cable & Satellite,Silver Spring,Maryland,39.1148,-77.0059
DISCK,Discovery Communications-C,0.00913627581605104,Consumer Discretionary,Cable & Satellite,Silver Spring,Maryland,39.1148,-77.0059
DLR,Digital Realty Trust,-0.0119085117457843,Real Estate,Specialized REITs,San Francisco,California,37.8231,-122.3693
DLTR,Dollar Tree,0.00411828401604144,Consumer Discretionary,General Merchandise Stores,Chesapeake,Virginia,36.814,-76.2406
DNB,Dun & Bradstreet,-2.10657841088538e-05,Industrials,Data Processing Services,Short Hills,New Jersey,40.7368,-74.3271
DOV,Dover Corp.,0.000676819179124034,Industrials,Industrial Machinery,Downers Grove,Illinois,41.8034,-88.0138
DOW,Dow Chemical,-0.00243938923780893,Materials,Diversified Chemicals,Midland,Michigan,43.6473,-84.3873
DPS,Dr Pepper Snapple Group,-0.00739096921881288,Consumer Staples,Soft Drinks,Plano,Texas,33.0784,-96.7291
DRI,Darden Restaurants,0.00700616654649294,Consumer Discretionary,Restaurants,Orlando,Florida,28.6214,-81.4294
DTE,DTE Energy Co.,-0.00379248381511912,Utilities,MultiUtilities,Detroit,Michigan,42.4337,-83.0434
DUK,Duke Energy,-0.00597859438485171,Utilities,Electric Utilities,Charlotte,North Carolina,35.3183,-80.7476
DVA,DaVita Inc.,0.00268557329767418,Health Care,Health Care Facilities,Denver,Colorado,39.9274,-104.9548
DVN,Devon Energy Corp.,-0.00600663449419568,Energy,Oil & Gas Exploration & Production,Oklahoma City,Oklahoma,35.6174,-97.5583
EA,Electronic Arts,-0.00688870927160824,Information Technology,Home Entertainment Software,Redwood City,California,37.5331,-122.2486
EBAY,eBay Inc.,0.00117085911265017,Information Technology,Internet Software & Services,San Jose,California,37.4087,-121.9406
ECL,Ecolab Inc.,-0.00401706679531335,Materials,Specialty Chemicals,Saint Paul,Minnesota,45.0803,-93.0875
ED,Consolidated Edison,-0.0068366583195684,Utilities,Electric Utilities,New York,New York,41.1472,-73.9962
EFX,Equifax Inc.,-0.0119510333939984,Financials,Diversified Financial Services,Atlanta,Georgia,33.9795,-84.3411
EIX,Edison Int'l,-0.00437616495150841,Utilities,Electric Utilities,Rosemead,California,34.0806,-118.0728
EL,Estee Lauder Cos.,-0.00295627595143255,Consumer Staples,Personal Products,New York,New York,41.1472,-73.9962
EMN,Eastman Chemical,-0.00350353173400994,Materials,Diversified Chemicals,Kingsport,Tennessee,36.5799,-82.5733
EOG,EOG Resources,-0.00294024666242649,Energy,Oil & Gas Exploration & Production,Houston,Texas,30.0198,-95.4087
EQIX,Equinix,-0.0102337306928508,Real Estate,REITs,Redwood City,California,37.5331,-122.2486
EQR,Equity Residential,-0.00622562216332754,Real Estate,REITs,Chicago,Illinois,42.0095,-87.6689
EQT,EQT Corporation,0.00485432469635824,Energy,Oil & Gas Exploration & Production,Pittsburgh,Pennsylvania,40.5488,-80.0474
ES,Eversource Energy,-0.00710542343593874,Utilities,MultiUtilities,Springfield,Massachusetts,42.1707,-72.6048
ESS,Essex Property Trust Inc.,-0.00334794694089868,Real Estate,Residential REITs,Palo Alto,California,37.4673,-122.1388
ETFC,E*Trade,0.0099999176480554,Financials,Investment Banking & Brokerage,New York,New York,41.1472,-73.9962
ETR,Entergy Corp.,-0.000926462620502068,Utilities,Electric Utilities,New Orleans,Louisiana,30.0877,-89.8462
EVHC,Envision Healthcare Corp,0.00572311133985247,Health Care,Health Care Services,Nashville,Tennessee,36.3403,-86.8273
EW,Edwards Lifesciences,-0.0143394893136975,Health Care,Health Care Equipment,Irvine,California,33.7419,-117.7467
EXC,Exelon Corp.,-0.00425840488856,Utilities,MultiUtilities,Chicago,Illinois,42.0095,-87.6689
EXPD,Expeditors Int'l,0.0063185675436265,Industrials,Air Freight & Logistics,Seattle,Washington,47.7559,-122.3003
